timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1669568490,2022-11-28 00:01:30.001,0,5.1,9,31.7,0,Monday
1669572090,2022-11-28 01:01:30.001,0,1.2,3,2.2,0,Monday
1669575690,2022-11-28 02:01:30.001,0,5.3,5,4.9,0,Monday
1669579290,2022-11-28 03:01:30.001,0,3.3,3,2.9,0,Monday
1669582890,2022-11-28 04:01:30.000,0,17.0,9,16.8,0,Monday
1669586490,2022-11-28 05:01:30.001,0,12.9,8,14.1,0,Monday
1669592790,2022-11-28 06:46:30.000,34,276.6,415,1970.8,35,Monday
1669596390,2022-11-28 07:46:30.000,55,340.4,488,2613.6,51,Monday
1669597290,2022-11-28 08:01:30.001,57,330.4,425,2405.8,52,Monday
1669600890,2022-11-28 09:01:30.000,51,240.6,298,1706.0,45,Monday
1669606290,2022-11-28 10:31:30.000,43,239.4,279,1318.6,33,Monday
1669610790,2022-11-28 11:46:30.000,46,303.9,408,2039.5,32,Monday
1669611690,2022-11-28 12:01:30.001,45,287.7,394,1938.6,31,Monday
1669615290,2022-11-28 13:01:30.000,39,215.3,297,1488.1,30,Monday
1669618890,2022-11-28 14:01:30.001,37,206.4,313,1424.8,37,Monday
1669625190,2022-11-28 15:46:30.000,37,227.2,282,1312.1,39,Monday
1669628790,2022-11-28 16:46:30.000,61,560.0,563,2862.2,47,Monday
1669632390,2022-11-28 17:46:30.001,95,777.9,759,4798.2,62,Monday
1669633290,2022-11-28 18:01:30.000,97,728.3,727,4736.2,65,Monday
1669636890,2022-11-28 19:01:30.001,84,526.0,626,3561.3,59,Monday
1669640490,2022-11-28 20:01:30.000,71,387.2,455,2538.9,38,Monday
1669644090,2022-11-28 21:01:30.001,49,199.0,241,1418.5,19,Monday
1669647690,2022-11-28 22:01:30.000,28,104.0,94,654.4,8,Monday
1669651290,2022-11-28 23:01:30.000,10,58.4,60,354.5,1,Monday
1669395690,2022-11-26 00:01:30.000,2,24.7,21,96.5,2,Saturday
1669399290,2022-11-26 01:01:30.001,0,19.4,15,68.5,0,Saturday
1669402890,2022-11-26 02:01:30.000,0,20.0,13,35.0,0,Saturday
1669406490,2022-11-26 03:01:30.000,0,23.4,13,37.3,0,Saturday
1669410090,2022-11-26 04:01:30.000,0,16.3,13,24.0,0,Saturday
1669413690,2022-11-26 05:01:30.000,0,11.9,11,47.9,0,Saturday
1669417290,2022-11-26 06:01:30.001,0,7.2,12,42.2,0,Saturday
1669423590,2022-11-26 07:46:30.001,4,13.2,32,108.1,2,Saturday
1669427190,2022-11-26 08:46:30.001,11,33.9,69,231.7,9,Saturday
1669430790,2022-11-26 09:46:30.000,23,146.0,199,826.2,20,Saturday
1669434390,2022-11-26 10:46:30.000,41,325.1,455,2283.8,33,Saturday
1669437990,2022-11-26 11:46:30.000,53,446.7,631,3382.4,41,Saturday
1669441590,2022-11-26 12:46:30.000,56,404.2,590,2949.6,42,Saturday
1669445190,2022-11-26 13:46:30.000,64,531.9,727,3934.3,47,Saturday
1669448790,2022-11-26 14:46:30.000,77,668.8,843,4436.7,52,Saturday
1669450590,2022-11-26 15:16:30.001,81,656.7,818,4241.0,53,Saturday
1669453290,2022-11-26 16:01:30.001,77,558.8,692,3688.4,49,Saturday
1669456890,2022-11-26 17:01:30.001,76,592.0,738,3874.7,49,Saturday
1669460490,2022-11-26 18:01:30.000,71,489.8,587,3085.0,47,Saturday
1669464090,2022-11-26 19:01:30.000,54,283.7,398,1730.6,41,Saturday
1669467690,2022-11-26 20:01:30.001,39,161.7,288,1334.1,36,Saturday
1669471290,2022-11-26 21:01:30.000,30,88.3,169,767.5,31,Saturday
1669474890,2022-11-26 22:01:30.003,25,61.9,108,465.8,26,Saturday
1669478490,2022-11-26 23:01:30.000,18,38.3,67,280.2,18,Saturday
1669654890,2022-11-29 00:01:30.000,1,36.2,35,159.2,0,Tuesday
1669658490,2022-11-29 01:01:30.000,0,31.3,17,69.2,0,Tuesday
1669662090,2022-11-29 02:01:30.000,0,27.9,10,23.9,0,Tuesday
1669665690,2022-11-29 03:01:30.000,0,32.9,11,22.6,0,Tuesday
1669669290,2022-11-29 04:01:30.000,0,38.1,13,23.1,0,Tuesday
1669672890,2022-11-29 05:01:30.000,0,31.9,15,47.3,0,Tuesday
1669679190,2022-11-29 06:46:30.000,31,222.9,361,1682.0,25,Tuesday
1669682790,2022-11-29 07:46:30.000,53,344.5,510,2656.6,45,Tuesday
1669683690,2022-11-29 08:01:30.001,55,324.6,453,2584.8,47,Tuesday
1669687290,2022-11-29 09:01:30.000,51,259.4,335,1698.0,44,Tuesday
1669693590,2022-11-29 10:46:30.000,46,292.7,356,1787.9,40,Tuesday
1669697190,2022-11-29 11:46:30.000,50,342.4,467,2386.5,41,Tuesday
1669698090,2022-11-29 12:01:30.001,50,339.2,474,2330.1,39,Tuesday
1669701690,2022-11-29 13:01:30.000,45,251.3,334,1633.7,34,Tuesday
1669707990,2022-11-29 14:46:30.000,46,284.3,422,1992.5,40,Tuesday
1669709790,2022-11-29 15:16:30.000,47,310.6,405,2070.5,41,Tuesday
1669715190,2022-11-29 16:46:30.000,56,425.8,565,2946.0,50,Tuesday
1669718790,2022-11-29 17:46:30.000,73,615.2,807,4342.8,63,Tuesday
1669719690,2022-11-29 18:01:30.001,77,595.1,756,4097.4,68,Tuesday
1669723290,2022-11-29 19:01:30.000,69,418.2,511,2573.7,58,Tuesday
1669726890,2022-11-29 20:01:30.001,50,230.0,260,1440.6,40,Tuesday
1669730490,2022-11-29 21:01:30.000,29,90.7,95,458.8,20,Tuesday
1669734090,2022-11-29 22:01:30.000,15,60.0,48,239.0,9,Tuesday
1669737690,2022-11-29 23:01:30.000,7,45.9,42,180.3,3,Tuesday
1669741290,2022-11-30 00:01:30.000,0,29.7,25,89.2,0,Wednesday
1669744890,2022-11-30 01:01:30.001,0,31.1,13,44.1,0,Wednesday
1669748490,2022-11-30 02:01:30.000,0,41.1,14,49.1,0,Wednesday
1669752090,2022-11-30 03:01:30.000,0,27.2,15,21.3,0,Wednesday
1669755690,2022-11-30 04:01:30.000,0,32.4,16,27.0,0,Wednesday
1669759290,2022-11-30 05:01:30.001,0,20.4,13,17.6,0,Wednesday
1669765590,2022-11-30 06:46:30.001,25,206.0,340,1483.1,22,Wednesday
1669769190,2022-11-30 07:46:30.001,48,307.7,457,2461.2,43,Wednesday
1669770090,2022-11-30 08:01:30.000,51,303.1,430,2355.0,44,Wednesday
1669773690,2022-11-30 09:01:30.001,50,261.9,339,1699.5,40,Wednesday
1669779990,2022-11-30 10:46:30.000,49,344.5,417,2067.0,40,Wednesday
1669783590,2022-11-30 11:46:30.000,54,378.9,499,2362.1,40,Wednesday
1669784490,2022-11-30 12:01:30.001,55,382.6,499,2442.5,38,Wednesday
1669788090,2022-11-30 13:01:30.001,50,330.0,449,2046.2,37,Wednesday
1669791690,2022-11-30 14:01:30.001,47,286.3,408,1874.4,42,Wednesday
1669795290,2022-11-30 15:01:30.001,47,312.9,426,2125.0,48,Wednesday
1669801590,2022-11-30 16:46:30.000,54,401.5,510,2444.7,56,Wednesday
1669805190,2022-11-30 17:46:30.000,79,618.6,804,4328.1,72,Wednesday
1669806990,2022-11-30 18:16:30.000,87,569.2,653,3860.6,78,Wednesday
1669809690,2022-11-30 19:01:30.000,82,480.6,570,3177.8,67,Wednesday
1669813290,2022-11-30 20:01:30.000,65,283.8,356,1886.9,43,Wednesday
1669816890,2022-11-30 21:01:30.000,44,169.0,182,1045.1,21,Wednesday
1669820490,2022-11-30 22:01:30.001,29,126.5,108,624.6,9,Wednesday
1669824090,2022-11-30 23:01:30.000,13,57.4,52,280.9,3,Wednesday
