timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1669741290,2022-11-30 00:01:30.000,0,25,29.7,89.2,0,Wednesday
1669744890,2022-11-30 01:01:30.001,0,13,31.1,44.1,0,Wednesday
1669748490,2022-11-30 02:01:30.000,0,14,41.1,49.1,0,Wednesday
1669752090,2022-11-30 03:01:30.000,0,15,27.2,21.3,0,Wednesday
1669755690,2022-11-30 04:01:30.000,0,16,32.4,27.0,0,Wednesday
1669759290,2022-11-30 05:01:30.001,0,13,20.4,17.6,0,Wednesday
1669765590,2022-11-30 06:46:30.001,25,340,206.0,1483.1,22,Wednesday
1669769190,2022-11-30 07:46:30.001,48,457,307.7,2461.2,43,Wednesday
1669770090,2022-11-30 08:01:30.000,51,430,303.1,2355.0,44,Wednesday
1669773690,2022-11-30 09:01:30.001,50,339,261.9,1699.5,40,Wednesday
1669779990,2022-11-30 10:46:30.000,49,417,344.5,2067.0,40,Wednesday
1669783590,2022-11-30 11:46:30.000,54,499,378.9,2362.1,40,Wednesday
1669784490,2022-11-30 12:01:30.001,55,499,382.6,2442.5,38,Wednesday
1669788090,2022-11-30 13:01:30.001,50,449,330.0,2046.2,37,Wednesday
1669791690,2022-11-30 14:01:30.001,47,408,286.3,1874.4,42,Wednesday
1669795290,2022-11-30 15:01:30.001,47,426,312.9,2125.0,48,Wednesday
1669801590,2022-11-30 16:46:30.000,54,510,401.5,2444.7,56,Wednesday
1669805190,2022-11-30 17:46:30.000,79,804,618.6,4328.1,72,Wednesday
1669806990,2022-11-30 18:16:30.000,87,653,569.2,3860.6,78,Wednesday
1669809690,2022-11-30 19:01:30.000,82,570,480.6,3177.8,67,Wednesday
1669813290,2022-11-30 20:01:30.000,65,356,283.8,1886.9,43,Wednesday
1669816890,2022-11-30 21:01:30.000,44,182,169.0,1045.1,21,Wednesday
1669820490,2022-11-30 22:01:30.001,29,108,126.5,624.6,9,Wednesday
1669824090,2022-11-30 23:01:30.000,13,52,57.4,280.9,3,Wednesday
